Lunar Distribution Invoice

Invoice #581462
Account No: L110345
Invoice Date: 2/21/2025
Due Date: 3/5/2025
Payment Terms: Net 7 ACH
Payment by Paypal -please send to service@LunarDistribution.com

Invoiced To:
"Jago Goddard"
"Mega City One"
"7301 Melrose Ave"
"Los Angeles, CA 90046"
"US"

Invoice Products
Code,Title,Qty,Retail,Discount,Discounted Price,Total,UPC,PO Number,In-Store Date,Item Category
"1224DC818","ABSOLUTE SUPERMAN #1 Third Printing Cvr A Jim Lee","-1","4.99","55","2.2455","-2.2455","76194138585300136","","2/12/2025","1"
"0724DC237","ABSOLUTE TRANSMETROPOLITAN HC VOL 03 (2025 EDITION) (MR)","1","125.00","55","56.2500","56.2500","9781799500544","","2/25/2025","3"
"1224DC814","ABSOLUTE WONDER WOMAN #1 Fourth Printing Cvr A Jim Lee","-1","4.99","55","2.2455","-2.2455","76194138586000144","","2/12/2025","1"
"1224DC029","ABSOLUTE WONDER WOMAN #5 CVR A HAYDEN SHERMAN","110","4.99","55","2.2455","247.0050","76194138586000511","","2/26/2025","1"
"1224DC030","ABSOLUTE WONDER WOMAN #5 CVR B HOMARE CARD STOCK VAR","20","5.99","55","2.6955","53.9100","76194138586000521","","2/26/2025","1"
"1224DC031","ABSOLUTE WONDER WOMAN #5 CVR C JEEHYUNG LEE CARD STOCK VAR","20","5.99","55","2.6955","53.9100","76194138586000531","","2/26/2025","1"
"1224DC032","ABSOLUTE WONDER WOMAN #5 CVR D INC 1:25 MIKE PERKINS CARD STOCK VAR","6","5.99","55","2.6955","16.1730","76194138586000541","","2/26/2025","1"
"1224DC033","ABSOLUTE WONDER WOMAN #5 CVR E INC 1:50 HOMARE VIRGIN CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194138586000551","","2/26/2025","1"
"1224TM832","ALTER EGO #192","1","10.95","40","6.5700","6.5700","182658005399","","2/26/2025","1"
"1224PZ524","ASTERIX OMNIBUS HC VOL 13","1","22.99","50","11.4950","11.4950","9781545816905","","2/26/2025","3"
"1224PZ525","ASTERIX OMNIBUS TP VOL 13","1","14.99","50","7.4950","7.4950","9781545815922","","2/26/2025","3"
"1224TM835","BACK ISSUE #158","3","10.95","40","6.5700","19.7100","182658005641","","2/26/2025","1"
"1224DC097","BATGIRL #4 CVR A DAVID TALASKI","1","3.99","55","1.7955","1.7955","76194138622500411","","2/5/2025","1"
"1024DC009","BATMAN #157 CVR A JORGE JIMENEZ","1","4.99","55","2.2455","2.2455","76194134182815711","","2/5/2025","1"
"1024DC261","BATMAN SUPERMAN WORLDS FINEST HC VOL 05 SECRET ORIGINS","2","24.99","55","11.2455","22.4910","9781799500315","","2/25/2025","3"
